pais,regiao,casos_cumulativos_totais,casos_cumulativos_por_100mil_hab,casos_nos_ultimos_7dias,casos_nos_ultimos_7dias_por_100mil_hab,casos_nas_ultimas_24hrs,mortes_cumulativas_totais,mortes_cumulativas_totais_por_100mil_hab,mortes_nos_ultimos_7dias,mortes_nos_ultimos_7dias_por_100mil_hab,mortes_nas_ultimas_24hrs
República da Moldávia,Europa,14777.032,448,11.106,0,11929,295.714,7,0.174,0,
Venezuela (Bolivarian Republic of),Americas,1932.582,845,2.972,170,5830,20.502,0,0.0,0,
Egito,Mediterrâneo oriental,503.734,18,0.018,0,24801,24.235,1,0.001,0,
Líbia,Mediterrâneo oriental,7380.286,9,0.131,0,6437,93.68,0,0.0,0,
Etiópia,Africa,430.874,64,0.056,0,7572,6.586,0,0.0,0,
Catar,Mediterrâneo oriental,16914.684,1540,53.453,0,685,23.776,0,0.0,0,
Réunion,Africa,54356.358,1923,214.785,1923,906,101.194,1,0.112,1,
Honduras,Americas,4681.508,1697,17.133,0,11063,111.695,3,0.03,0,
Armênia,Europa,15047.107,0,0.0,0,8712,294.003,0,0.0,0,
Bósnia e Herzegovina,Europa,12218.549,115,3.505,26,16221,494.42,4,0.122,1,
Omã,Mediterrâneo oriental,7816.394,35,0.685,0,4628,90.627,0,0.0,0,
Macedônia do Norte,Europa,16578.925,206,9.888,0,9608,461.174,9,0.432,0,
Quênia,Africa,636.652,229,0.426,0,5688,10.578,4,0.007,0,
Zâmbia,Africa,1815.42,0,0.0,0,4019,21.861,0,0.0,0,
Albânia,Europa,11555.807,54,1.876,0,3594,124.887,0,0.0,0,
Botsuana,Africa,13925.295,0,0.0,0,2786,118.471,0,0.0,0,
Luxemburgo,Europa,49791.09,1680,268.324,311,1178,188.146,6,0.958,1,
Maurício,Africa,22801.329,569,44.741,0,1039,81.697,1,0.079,0,
Montenegro,Europa,45292.344,208,33.118,35,2790,444.224,0,0.0,0,
Kosovo[1],Europa,15158.721,17,0.947,5,3192,177.761,0,0.0,0,
Argélia,Africa,618.409,23,0.052,0,6881,15.692,0,0.0,0,
Brunei Darussalam,Pacífico Ocidental,60990.128,0,0.0,0,146,33.373,0,0.0,0,
Nígeria,Africa,129.224,0,0.0,0,3155,1.531,0,0.0,0,
Zimbábue,Africa,1749.191,219,1.473,0,5637,37.927,10,0.067,0,
Uzbequistão,Europa,744.616,592,1.769,78,1637,4.891,0,0.0,0,
Moçambique,Africa,738.809,0,0.0,0,2229,7.132,0,0.0,0,
Martinica,Americas,59911.263,0,0.0,0,1076,286.731,0,0.0,0,
República Democrática Popular do Laos,Pacífico Ocidental,2990.643,254,3.491,60,757,10.405,0,0.0,0,
Islândia,Europa,57114.689,133,36.525,0,229,62.889,0,0.0,0,
Afeganistão,Mediterrâneo oriental,532.296,335,0.861,0,7845,20.152,2,0.005,0,
Quirguistão,Europa,3166.017,4,0.061,0,2991,45.845,0,0.0,0,
El Salvador,Americas,3110.987,0,0.0,0,4230,65.215,0,0.0,0,
Guadalupe,Americas,49636.613,0,0.0,0,997,249.173,0,0.0,0,
Trindade e Tobago,Americas,13282.143,174,12.433,0,4277,305.612,6,0.429,0,
Maldivas,Sudeste da Ásia,34347.99,15,2.775,0,311,57.535,0,0.0,0,
Gana,Africa,550.44,7,0.023,0,1461,4.702,0,0.0,0,
Namíbia,Africa,6696.984,0,0.0,0,4080,160.573,0,0.0,0,
Uganda,Africa,371.035,0,0.0,0,3630,7.936,0,0.0,0,
Jamaica,Americas,5158.709,89,3.006,0,3461,116.88,14,0.473,0,
Cambodja,Pacífico Ocidental,828.203,120,0.718,10,3056,18.279,0,0.0,0,
Ruanda,Africa,1026.233,80,0.618,0,1467,11.326,0,0.0,0,
Camarões,Africa,467.09,0,0.0,0,1965,7.402,0,0.0,0,
Malta,Europa,22584.557,130,25.264,16,813,157.998,2,0.389,1,
Angola,Africa,319.394,0,0.0,0,1928,5.866,0,0.0,0,
Barbados,Americas,36334.406,0,0.0,0,567,197.303,0,0.0,0,
Guiana Francesa,Americas,32652.118,0,0.0,0,411,137.605,0,0.0,0,
República Democrática do Congo,Africa,106.038,0,0.0,0,1461,1.631,0,0.0,0,
Senegal,Africa,530.915,5,0.03,0,1968,11.754,0,0.0,0,
Malawi,Africa,460.655,0,0.0,0,2685,14.036,0,0.0,0,
Costa do Marfim,Africa,333.274,3,0.011,0,830,3.147,0,0.0,0,
Suriname,Americas,13906.674,0,0.0,0,1393,237.457,0,0.0,0,
Nova Caledônia,Pacífico Ocidental,27727.69,824,288.618,0,314,109.983,0,0.0,0,
